nuts2_id,year,country
BG33,2013,BG
BG33,2014,BG
BG33,2015,BG
BG33,2016,BG
BG33,2017,BG
BG33,2018,BG
BG33,2019,BG
BG33,2020,BG
BG33,2021,BG
BG33,2022,BG
BG33,2023,BG
BG33,2024,BG
BG33,2025,BG
BG34,1986,BG
BG34,1987,BG
BG34,1988,BG
BG34,1989,BG
BG34,1990,BG
BG34,1991,BG
BG34,1992,BG
BG34,1993,BG
BG34,1994,BG
BG34,1995,BG
BG34,1996,BG
BG34,1997,BG
BG34,1998,BG
BG34,1999,BG
BG34,2000,BG
BG34,2001,BG
BG34,2002,BG
BG34,2003,BG
BG34,2004,BG
BG34,2005,BG
BG34,2006,BG
BG34,2007,BG
BG34,2008,BG
BG34,2009,BG
BG34,2010,BG
BG34,2011,BG
BG34,2012,BG
BG34,2013,BG
BG34,2014,BG
BG34,2015,BG
BG34,2016,BG
BG34,2017,BG
BG34,2018,BG
BG34,2019,BG
BG34,2020,BG
BG34,2021,BG
BG34,2022,BG
BG34,2023,BG
BG34,2024,BG
BG34,2025,BG
BG41,1986,BG
BG41,1987,BG
BG41,1988,BG
BG41,1989,BG
BG41,1990,BG
BG41,1991,BG
BG41,1992,BG
BG41,1993,BG
BG41,1994,BG
BG41,1995,BG
BG41,1996,BG
BG41,1997,BG
BG41,1998,BG
BG41,1999,BG
BG41,2000,BG
BG41,2001,BG
BG41,2002,BG
BG41,2003,BG
BG41,2004,BG
BG41,2005,BG
BG41,2006,BG
BG41,2007,BG
BG41,2008,BG
BG41,2009,BG
BG41,2010,BG
BG41,2011,BG
BG41,2012,BG
BG41,2013,BG
BG41,2014,BG
BG41,2015,BG
BG41,2016,BG
BG41,2017,BG
BG41,2018,BG
BG41,2019,BG
BG41,2020,BG
BG41,2021,BG
BG41,2022,BG
BG41,2023,BG
BG41,2024,BG
BG41,2025,BG
BG42,1986,BG
BG42,1987,BG
BG42,1988,BG
BG42,1989,BG
BG42,1990,BG
BG42,1991,BG
BG42,1992,BG
BG42,1993,BG
BG42,1994,BG
BG42,1995,BG
BG42,1996,BG
BG42,1997,BG
BG42,1998,BG
BG42,1999,BG
BG42,2000,BG
BG42,2001,BG
BG42,2002,BG
BG42,2003,BG
BG42,2004,BG
BG42,2005,BG
BG42,2006,BG
BG42,2007,BG
BG42,2008,BG
BG42,2009,BG
BG42,2010,BG
BG42,2011,BG
BG42,2012,BG
BG42,2013,BG
BG42,2014,BG
BG42,2015,BG
BG42,2016,BG
BG42,2017,BG
BG42,2018,BG
BG42,2019,BG
BG42,2020,BG
BG42,2021,BG
BG42,2022,BG
BG42,2023,BG
BG42,2024,BG
BG42,2025,BG
CH01,1986,CH
CH01,1987,CH
CH01,1988,CH
CH01,1989,CH
CH01,1990,CH
CH01,1991,CH
CH01,1992,CH
CH01,1993,CH
CH01,1994,CH
CH01,1995,CH
CH01,1996,CH
CH01,1997,CH
CH01,1998,CH
CH01,1999,CH
CH01,2000,CH
CH01,2001,CH
CH01,2002,CH
CH01,2003,CH
CH01,2004,CH
CH01,2005,CH
CH01,2006,CH
CH01,2007,CH
CH01,2008,CH
CH01,2009,CH
CH01,2010,CH
CH01,2011,CH
CH01,2012,CH
CH01,2013,CH
CH01,2014,CH
CH01,2015,CH
CH01,2016,CH
CH01,2017,CH
CH01,2018,CH
CH01,2019,CH
CH01,2020,CH
CH01,2021,CH
CH01,2022,CH
CH01,2023,CH
CH01,2024,CH
CH01,2025,CH
CH02,1986,CH
CH02,1987,CH
CH02,1988,CH
CH02,1989,CH
CH02,1990,CH
CH02,1991,CH
CH02,1992,CH
CH02,1993,CH
CH02,1994,CH
CH02,1995,CH
CH02,1996,CH
CH02,1997,CH
CH02,1998,CH
CH02,1999,CH
CH02,2000,CH
CH02,2001,CH
CH02,2002,CH
CH02,2003,CH
CH02,2004,CH
CH02,2005,CH
CH02,2006,CH
CH02,2007,CH
CH02,2008,CH
CH02,2009,CH
CH02,2010,CH
CH02,2011,CH
CH02,2012,CH
CH02,2013,CH
CH02,2014,CH
CH02,2015,CH
CH02,2016,CH
CH02,2017,CH
CH02,2018,CH
CH02,2019,CH
CH02,2020,CH
CH02,2021,CH
CH02,2022,CH
CH02,2023,CH
CH02,2024,CH
CH02,2025,CH
CH03,1986,CH
CH03,1987,CH
CH03,1988,CH
CH03,1989,CH
CH03,1990,CH
CH03,1991,CH
CH03,1992,CH
CH03,1993,CH
CH03,1994,CH
CH03,1995,CH
CH03,1996,CH
CH03,1997,CH
CH03,1998,CH
CH03,1999,CH
CH03,2000,CH
CH03,2001,CH
CH03,2002,CH
CH03,2003,CH
CH03,2004,CH
CH03,2005,CH
CH03,2006,CH
CH03,2007,CH
CH03,2008,CH
CH03,2009,CH
CH03,2010,CH
CH03,2011,CH
CH03,2012,CH
CH03,2013,CH
CH03,2014,CH
CH03,2015,CH
CH03,2016,CH
CH03,2017,CH
CH03,2018,CH
CH03,2019,CH
CH03,2020,CH
CH03,2021,CH
CH03,2022,CH
CH03,2023,CH
CH03,2024,CH
CH03,2025,CH
CH04,1986,CH
CH04,1987,CH
CH04,1988,CH
CH04,1989,CH
CH04,1990,CH
CH04,1991,CH
CH04,1992,CH
CH04,1993,CH
CH04,1994,CH
CH04,1995,CH
CH04,1996,CH
CH04,1997,CH
CH04,1998,CH
CH04,1999,CH
CH04,2000,CH
CH04,2001,CH
CH04,2002,CH
CH04,2003,CH
CH04,2004,CH
CH04,2005,CH
CH04,2006,CH
CH04,2007,CH
CH04,2008,CH
CH04,2009,CH
CH04,2010,CH
CH04,2011,CH
CH04,2012,CH
CH04,2013,CH
CH04,2014,CH
CH04,2015,CH
CH04,2016,CH
CH04,2017,CH
CH04,2018,CH
CH04,2019,CH
CH04,2020,CH
CH04,2021,CH
CH04,2022,CH
CH04,2023,CH
CH04,2024,CH
CH04,2025,CH
CH05,1986,CH
CH05,1987,CH
CH05,1988,CH
CH05,1989,CH
CH05,1990,CH
CH05,1991,CH
CH05,1992,CH
CH05,1993,CH
CH05,1994,CH
CH05,1995,CH
CH05,1996,CH
CH05,1997,CH
CH05,1998,CH
CH05,1999,CH
CH05,2000,CH
CH05,2001,CH
CH05,2002,CH
CH05,2003,CH
CH05,2004,CH
CH05,2005,CH
CH05,2006,CH
CH05,2007,CH
CH05,2008,CH
CH05,2009,CH
CH05,2010,CH
CH05,2011,CH
CH05,2012,CH
CH05,2013,CH
CH05,2014,CH
CH05,2015,CH
CH05,2016,CH
CH05,2017,CH
CH05,2018,CH
CH05,2019,CH
CH05,2020,CH
CH05,2021,CH
CH05,2022,CH
CH05,2023,CH
CH05,2024,CH
CH05,2025,CH
CH06,1986,CH
CH06,1987,CH
CH06,1988,CH
CH06,1989,CH
CH06,1990,CH
CH06,1991,CH
CH06,1992,CH
CH06,1993,CH
CH06,1994,CH
CH06,1995,CH
CH06,1996,CH
CH06,1997,CH
CH06,1998,CH
CH06,1999,CH
CH06,2000,CH
CH06,2001,CH
CH06,2002,CH
CH06,2003,CH
CH06,2004,CH
CH06,2005,CH
CH06,2006,CH
CH06,2007,CH
CH06,2008,CH
CH06,2009,CH
CH06,2010,CH
CH06,2011,CH
CH06,2012,CH
CH06,2013,CH
CH06,2014,CH
CH06,2015,CH
CH06,2016,CH
CH06,2017,CH
