nuts2_id,year,unemp_rate,emp_rate,tertiary_share_25_64,rd_gerd,gva
CZ05,2023,2.8,74.4,21.2,1.24,121.2
CZ05,2024,2.9,74.4,22,,
CZ06,2013,6.8,68.2,22.6,2.83,
CZ06,2014,6,69.2,23.3,2.94,95.9
CZ06,2015,4.9,70.4,24.3,2.88,100
CZ06,2016,3.7,72.1,25.6,2.39,101
CZ06,2017,3.1,73.3,25.5,2.32,105.5
CZ06,2018,2.3,74.4,25.8,2.33,109
CZ06,2019,1.9,74.9,26,2.45,112.8
CZ06,2020,2.3,74.7,27.7,2.57,110.2
CZ06,2021,2.4,74.5,27.7,2.52,114.9
CZ06,2022,1.7,75.6,27.2,2.34,115.9
CZ06,2023,2.2,75.6,28.2,2.18,117.5
CZ06,2024,2.4,76,29.3,,
CZ07,2013,8,65.7,16.2,1.39,
CZ07,2014,6.9,67,18.7,1.51,96.2
CZ07,2015,5.3,69.2,20.1,1.29,100
CZ07,2016,3.9,70.5,19.1,1.23,102.7
CZ07,2017,3.3,72.3,19.7,1.41,108.6
CZ07,2018,2.2,74.2,19.5,1.55,110.5
CZ07,2019,2.2,73.8,20,1.6,114.8
CZ07,2020,2.5,72.8,22.3,1.5,109.5
CZ07,2021,2.2,73.2,24.5,1.58,112.5
CZ07,2022,2.8,74.3,24,1.61,114
CZ07,2023,2.5,74.9,22.3,1.55,115.8
CZ07,2024,2.6,74.7,23.3,,
CZ08,2013,9.9,63.9,17.6,1.15,
CZ08,2014,8.6,65.2,16.7,1.24,97.6
CZ08,2015,8.2,66.1,18.8,1.19,100
CZ08,2016,6.9,69.2,19.8,1.14,102.8
CZ08,2017,4.7,71.4,21.6,1.05,106
CZ08,2018,3.7,72.8,21.1,1.12,108.9
CZ08,2019,3.7,72.7,20.3,1.09,107.9
CZ08,2020,3.6,71.7,21.1,1.22,100.1
CZ08,2021,4.6,71.4,22.5,1.16,105.3
CZ08,2022,4,72.9,22.4,1.13,107.8
CZ08,2023,3.9,72.4,22,1.04,106.8
CZ08,2024,4.1,73.2,24.1,,
DE11,2013,3.7,76,32.5,5.89,
DE11,2014,3.1,76.9,30.8,,96.5
DE11,2015,3.4,77.2,32.4,6.13,100
DE11,2016,3.3,78,33.1,,100.1
DE11,2017,3,78.3,32.6,7.47,104.7
DE11,2018,2.3,79.1,32.7,,107.4
DE11,2019,2.4,79.5,34.3,7.4,104.3
DE11,2020,3.5,77.6,34.7,,98.6
DE11,2021,3.1,77.7,35.5,6.81,103.3
DE11,2022,2.8,78.8,36.2,,105.6
DE11,2023,2.9,79,37,7.83,105.8
DE11,2024,3.2,80,38,,
DE12,2013,3.6,75.3,31,4.3,
DE12,2014,3.5,74.8,29.9,,98.6
DE12,2015,3.3,75,31.2,4.55,100
DE12,2016,3.1,76,32.2,,101
DE12,2017,3.3,75.6,31.4,4.88,104.5
DE12,2018,3,77,31.2,,105.9
DE12,2019,2.8,77.8,33,5.29,106.6
DE12,2020,3.5,76.5,34.5,,100.6
DE12,2021,3.4,76.6,34.2,5.38,104.6
DE12,2022,3.2,77.3,36.2,,107.6
DE12,2023,2.9,78.8,37,5.9,107.7
DE12,2024,3.2,78.6,37.4,,
DE13,2013,2.9,78.4,29.7,2.64,
DE13,2014,3,78.2,27,,99.4
DE13,2015,2.5,77.9,27.7,2.63,100
DE13,2016,3,78,29,,101.4
DE13,2017,2.9,78.4,28.9,2.74,104.3
DE13,2018,2.6,79.2,29.5,,106.2
DE13,2019,2.2,79.5,30.9,2.87,107.5
DE13,2020,2.7,78.2,33.6,,102.1
DE13,2021,3.2,78.6,33.6,3.07,106.2
DE13,2022,2.3,79.7,33.2,,107.7
DE13,2023,2.2,80.2,34,2.44,108
DE13,2024,2.5,80.6,36.4,,
DE14,2013,2.9,77.7,33.1,4.65,
DE14,2014,2.7,77.4,30.5,,98.5
DE14,2015,3,77.9,30.6,4.55,100
DE14,2016,2.6,78.6,30.8,,103.4
DE14,2017,2.2,79.1,30.9,4.76,106.5
DE14,2018,1.9,79,30.6,,108.5
DE14,2019,1.9,79.8,31.9,5.17,110.2
DE14,2020,2.9,78.2,32.2,,105.5
DE14,2021,3,78.2,33.1,5.47,110.3
DE14,2022,2.1,80.4,35,,111.6
